role	label	path	sha256	note
binary	review-candidate	target/pr-review/release-test/rhwp	b10d5294fbd670a266833bdfcfd7d8dddae0b54c1f2b7f1e0cbb2b6239b738f7	local candidate binary
source	issue6593	samples/issue6575/156489219_satellite_pm_release.hwp	d33bff5e9515b9c4b88a6ff7dafa5417de02b8f2a04c5d1262131ff044810593	canonical input
reference	issue6593	pdf/156489219_satellite_pm_release-2020.pdf	22344351d543b1e657f28c3603a538b2b55f7fc372215b42d65dfe6d341bce19	Hancom PDF
source	issue6606	samples/draw-group.hwp	e20643e6f8a4d73cd9b01a600fd9613133201d09e1715e86254778e5e2022fae	canonical input
reference	issue6606	pdf/draw-group-2022.pdf	ec650ba92f5517750d1e0ade9cbbec4bdaf979fd26164b5a4f099556b1d29a2c	Hancom PDF
source	issue6617	samples/bitmap.hwp	299b2c0e909a50aa9a06b5d515bf4dc0884594bdc86e6ab42c80d7cceab55dc6	canonical input
reference	issue6617	pdf/bitmap-2022.pdf	1e22304e074bb113712de5ab4d1fb6d2e9b5247232062cab40bc0bf8c3c45a84	Hancom PDF
source	issue6621	samples/exam_social.hwp	ef1f84e7dd213194e68c243a67b0b60022472d9fa81e4db8dcf9bd9be0825146	canonical input
reference	issue6621	pdf/exam_social-2022.pdf	320b044ea95f638e056858f6814cb7d00d01fa60c0a75aa7efa1d60d9c2b1dc0	Hancom PDF
source	issue6624	samples/chart/**	multiple	canonical inputs
review_png	review_6595_issue6593_p005	mydocs/pr/assets/pr_6595_6631_jeong_sik_integration_20260902/review_6595_issue6593_p005.png	03ccb92b8f3e889ebf009f39ba5a86fb9b91607b07e016558bc3c05f10409bb8	direct Hancom PDF versus rhwp SVG Chrome raster
review_png	review_6602_issue6596_hwp3_sample5_p001	mydocs/pr/assets/pr_6595_6631_jeong_sik_integration_20260902/review_6602_issue6596_hwp3_sample5_p001.png	203aad922102b62b0d9ff4e882c3cd0c15a224196a58f53fd0994a4b1da64e65	direct Hancom PDF versus rhwp SVG Chrome raster
review_png	review_6602_issue6596_hwp3_sample_p001	mydocs/pr/assets/pr_6595_6631_jeong_sik_integration_20260902/review_6602_issue6596_hwp3_sample_p001.png	98ad6d74ac76466653a1762fa9ef706b4f9fa09761cc76b901bb971b0600541d	direct Hancom PDF versus rhwp SVG Chrome raster
review_png	review_6602_issue6596_onsaemiro_p001	mydocs/pr/assets/pr_6595_6631_jeong_sik_integration_20260902/review_6602_issue6596_onsaemiro_p001.png	acf6efa275fb6dde280282581dbe60d970b1bc75274ff7981d3fd3f2f8a81846	direct Hancom PDF versus rhwp SVG Chrome raster
review_png	review_6607_issue6603_p001	mydocs/pr/assets/pr_6595_6631_jeong_sik_integration_20260902/review_6607_issue6603_p001.png	ff9803b391b4e86af8a8266a1bc40435a88394a0ec7234cea46970b2c2286a00	direct Hancom PDF versus rhwp SVG Chrome raster
review_png	review_6607_issue6606_p001	mydocs/pr/assets/pr_6595_6631_jeong_sik_integration_20260902/review_6607_issue6606_p001.png	a5919217a62d703c59fd2a545bf1eef964d55f339979efcef479621b53ef1515	direct Hancom PDF versus rhwp SVG Chrome raster
review_png	review_6609_issue6608_p001	mydocs/pr/assets/pr_6595_6631_jeong_sik_integration_20260902/review_6609_issue6608_p001.png	bb5f04719c2fa34e0ec59e6b0e6e12552213582787004bba70aeae21b59632da	direct Hancom PDF versus rhwp SVG Chrome raster
review_png	review_6609_issue6608_p006	mydocs/pr/assets/pr_6595_6631_jeong_sik_integration_20260902/review_6609_issue6608_p006.png	8a68b5ffc25595f0200ecd1c1290215e1cff68aecf49aa2477239322650217a2	direct Hancom PDF versus rhwp SVG Chrome raster
review_png	review_6618_issue6612_p001	mydocs/pr/assets/pr_6595_6631_jeong_sik_integration_20260902/review_6618_issue6612_p001.png	6fdab68f1bd5e6089a0ca1513d7fb237cdd1574e4d6074ee854e740673ddc323	direct Hancom PDF versus rhwp SVG Chrome raster
review_png	review_6620_issue6617_p001	mydocs/pr/assets/pr_6595_6631_jeong_sik_integration_20260902/review_6620_issue6617_p001.png	e204c8f7dccb8df3c6edb01d13fa029f250fa39f8bb9b7d0af84133b06794093	direct Hancom PDF versus rhwp SVG Chrome raster
review_png	review_6626_chart_column_p001	mydocs/pr/assets/pr_6595_6631_jeong_sik_integration_20260902/review_6626_chart_column_p001.png	e3c54c15eb27b13282b7f3a2e40e58cfea39a88c7e4ed975c714db51d17e6f91	direct Hancom PDF versus rhwp SVG Chrome raster
review_png	review_6626_chart_line_p001	mydocs/pr/assets/pr_6595_6631_jeong_sik_integration_20260902/review_6626_chart_line_p001.png	84a47a6ecd7a4e91444dae7193bcabc39baf168e0c2079281c83a6fca10ca192	direct Hancom PDF versus rhwp SVG Chrome raster
